,APG,All_NBA,BPG,BPM,GOAT_SCORE,MPG,No. of All Star Selections,No. of Championships,PER,PPG,PTS,Player,RPG,SPG,Usg%,VORP,WS/48,fmvp_count,fmvp_pct,midpoint,mvp_count,scaled_all_star,scaled_anba,scaled_apg,scaled_bpg,scaled_bpm,scaled_cs,scaled_fin_mvp,scaled_fmvp_pct,scaled_mpg,scaled_per,scaled_ppg,scaled_pts,scaled_reg_mvp,scaled_rpg,scaled_spg,scaled_usg,scaled_vorp,scaled_ws
0,5.25,11.0,0.83,9.22,81.36144294400647,38.26,14.0,6.0,27.91,30.12,32292.0,Michael Jordan,0.0,2.35,33.26,116.08,0.2505,6.0,1.0,1994.0,5.0,0.7368421052631579,0.7333333333333333,0.4691689008042895,0.23714285714285713,1.0,0.8571428571428571,1.0,1.0,0.9304474708171205,1.0,1.0,0.8412222887956861,0.8333333333333333,0.0,0.8671586715867159,1.0,0.8712098468928249,1.0
1,4.26,11.0,0.0,0.0,79.99674476086267,42.29,12.0,11.0,18.87,0.0,14522.0,Bill Russell,22.45,0.0,0.0,0.0,0.1927,0.0,0.0,1963.0,5.0,0.8571428571428571,0.9166666666666666,0.4479495268138801,,,1.0,0.0,,0.9233624454148472,0.7221584385763491,0.0,0.46220439861230467,1.0,0.980777632153779,,,,0.7770161290322581
2,0.0,15.0,2.57,5.74,71.55089427580677,36.82,19.0,6.0,24.58,24.61,38387.0,Kareem Abdul-Jabbar,11.18,0.0,24.34,85.72,0.2284,2.0,0.3333333333333333,1979.5,6.0,1.0,1.0,0.0,0.7342857142857142,0.6225596529284164,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.8954280155642024,0.8806879254747403,0.8170650730411686,1.0,1.0,0.8078034682080926,0.0,0.7318099819603128,0.6433503452416691,0.9117764471057883
3,4.44,10.0,0.0,0.0,71.07702165867782,45.8,13.0,2.0,26.13,30.07,31419.0,Wilt Chamberlain,22.89,0.0,0.0,0.0,0.248,1.0,0.5,1966.5,4.0,0.9285714285714285,0.8333333333333333,0.46687697160883285,,,0.18181818181818182,0.5,,1.0,1.0,0.9999999999999999,1.0,0.8,1.0,,,,1.0
4,7.39,15.0,0.76,8.94,66.56531839711937,38.42,16.0,3.0,27.52,27.1,34087.0,LeBron James,7.43,1.6,31.54,133.24,0.2345,3.0,1.0,2012.0,4.0,0.8421052631578947,1.0,0.6604110813226094,0.21714285714285714,0.9696312364425161,0.42857142857142855,0.5,1.0,0.9343385214007782,0.986026513794339,0.899734395750332,0.8879829108812879,0.6666666666666666,0.536849710982659,0.5904059040590406,0.9482862297053518,1.0,0.9361277445109779
5,11.19,10.0,0.0,7.54,62.67579252354625,36.69,12.0,5.0,24.11,19.54,17707.0,Magic Johnson,7.24,1.9,22.26,79.97,0.2249,3.0,0.6,1988.0,3.0,0.631578947368421,0.6666666666666666,1.0,0.0,0.8177874186550975,0.7142857142857142,0.5,0.6,0.8922665369649805,0.8638480831243283,0.648738379814077,0.4612759527965197,0.5,0.5231213872832371,0.7011070110701106,0.6692723992784125,0.6001951365956169,0.8978043912175647
6,6.35,10.0,0.84,6.89,56.1997696025602,38.4,12.0,3.0,23.5,24.29,21791.0,Larry Bird,10.0,1.73,26.45,77.24,0.2032,2.0,0.6666666666666666,1986.0,3.0,0.631578947368421,0.6666666666666666,0.5674709562109026,0.24,0.747288503253796,0.42857142857142855,0.3333333333333333,0.6666666666666666,0.933852140077821,0.841992117520602,0.8064409030544488,0.5676661369734546,0.5,0.7225433526011561,0.6383763837638377,0.7952495490078172,0.579705794055839,0.8111776447105787
7,0.0,15.0,2.17,5.63,55.972116241830506,34.03,15.0,5.0,24.22,19.03,26496.0,Tim Duncan,10.84,0.0,27.0,91.12,0.2091,3.0,0.6,2007.0,2.0,0.7894736842105263,1.0,0.0,0.62,0.6106290672451192,0.7142857142857142,0.5,0.6,0.8275778210116732,0.8677893228233609,0.6318061088977424,0.6902336728579987,0.3333333333333333,0.7832369942196532,0.0,0.8117859290438966,0.6838787151005704,0.8347305389221557
8,0.0,14.0,2.26,5.15,51.63112354975197,34.73,15.0,4.0,26.43,23.69,28596.0,Shaquille O'Neal,10.85,0.0,29.48,75.51,0.2081,3.0,0.75,2002.0,1.0,0.7894736842105263,0.9333333333333333,0.0,0.6457142857142856,0.5585683297180043,0.5714285714285714,0.5,0.75,0.844601167315175,0.9469724113221069,0.7865205843293492,0.7449396931252767,0.16666666666666666,0.7839595375722543,0.0,0.8863499699338545,0.5667217051936355,0.8307385229540918
9,9.51,11.0,0.0,0.0,51.05175848675083,42.2,12.0,1.0,23.17,25.68,26710.0,Oscar Robertson,7.5,0.0,0.0,0.0,0.2069,0.0,0.0,1967.5,1.0,0.8571428571428571,0.9166666666666666,1.0,,,0.09090909090909091,0.0,,0.9213973799126639,0.8867202449292003,0.8540073162620552,0.8501225373181833,0.2,0.32765399737876805,,,,0.834274193548387
